Hora,LOG M2,LOG M3
11:21:52.421,1.5609536227558388e-12,1.7077724374801805e-12
11:21:53.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:54.437,1.5609536227558388e-12,1.7077724374801805e-12
11:21:55.406,1.5609536227558388e-12,1.7077724374801805e-12
11:21:56.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:57.375,1.5609536227558388e-12,1.7077724374801805e-12
11:21:58.39,1.5609536227558388e-12,1.7077724374801805e-12
11:21:59.39,1.5609536227558388e-12,1.7077724374801805e-12
11:22:00.453,1.5609536227558388e-12,1.7077724374801805e-12
11:22:01.406,1.5609536227558388e-12,1.7077724374801805e-12
11:22:02.39,1.5609536227558388e-12,1.7077724374801805e-12
11:22:03.437,1.5609536227558388e-12,1.7077724374801805e-12
11:22:04.437,1.5609536227558388e-12,1.7077724374801805e-12
11:22:05.421,1.5609536227558388e-12,1.7077724374801805e-12
11:22:06.39,1.5609536227558388e-12,1.7077724374801805e-12
11:22:07.421,1.5609536227558388e-12,1.7077724374801805e-12
11:22:08.421,1.5609536227558388e-12,1.7077724374801805e-12
11:22:09.406,1.5609536227558388e-12,1.7077724374801805e-12
11:22:10.421,1.5609536227558388e-12,1.7077724374801805e-12
11:22:11.421,1.5609536227558388e-12,1.7077724374801805e-12
11:22:12.453,1.5609536227558388e-12,1.7077724374801805e-12
11:22:13.406,1.5609536227558388e-12,1.7077724374801805e-12
11:22:14.437,1.5609536227558388e-12,1.7077724374801805e-12
11:22:15.406,1.5609536227558388e-12,1.7077724374801805e-12
11:22:16.39,1.5609536227558388e-12,1.7077724374801805e-12
11:22:17.39,1.5609536227558388e-12,1.7077724374801805e-12
11:22:19.078,1.5609536227558388e-12,1.7077724374801805e-12
11:22:19.39,1.5609536227558388e-12,1.7077724374801805e-12
11:22:20.39,1.5609536227558388e-12,1.7077724374801805e-12
11:22:21.453,1.5609536227558388e-12,1.7077724374801805e-12
11:22:22.421,1.5609536227558388e-12,1.7077724374801805e-12
11:22:23.39,1.5609536227558388e-12,1.7077724374801805e-12
11:22:24.437,1.6046137629263552e-12,1.7077724374801805e-12
11:22:25.406,1.5609536227558388e-12,1.7077724374801805e-12
11:22:26.39,1.5609536227558388e-12,1.7077724374801805e-12
11:22:27.39,1.5609536227558388e-12,1.7077724374801805e-12
11:22:28.406,1.5899263566852777e-12,1.7077724374801805e-12
11:22:29.39,1.6194368511856324e-12,1.7077724374801805e-12
11:22:30.453,1.6647327801906956e-12,1.7077724374801805e-12
11:22:31.406,1.7112956381680902e-12,1.7077724374801805e-12
11:22:32.39,1.7271042283777484e-12,1.7077724374801805e-12
11:22:33.437,1.6956317476935788e-12,1.7077724374801805e-12
11:22:34.437,1.6956317476935788e-12,1.7077724374801805e-12
11:22:35.421,1.7112956381680902e-12,1.7077724374801805e-12
11:22:36.406,1.6801112324835976e-12,1.7077724374801805e-12
11:22:37.39,1.7430588550283512e-12,1.7077724374801805e-12
11:22:38.39,1.7430588550283512e-12,1.7077724374801805e-12
11:22:39.39,1.7754116387831612e-12,1.7077724374801805e-12
11:22:40.39,1.8083649074301074e-12,1.7077724374801805e-12
11:22:41.39,1.8083649074301074e-12,1.7077724374801805e-12
11:22:42.453,1.825070203191681e-12,1.7077724374801805e-12
11:22:43.406,1.841929818972029e-12,1.7077724374801805e-12
11:22:44.453,1.8761177260621413e-12,1.7077724374801805e-12
11:22:45.39,1.8761177260621413e-12,1.7077724374801805e-12
11:22:46.39,1.9109401920693e-12,1.7077724374801805e-12
11:22:47.39,1.9109401920693e-12,1.7077724374801805e-12
11:22:49.046,1.9464089949890834e-12,1.7077724374801805e-12
11:22:49.421,2.037988031583957e-12,1.7077724374801805e-12
11:22:50.406,1.9825361592377854e-12,1.7077724374801805e-12
11:22:51.406,2.000850412496057e-12,1.7077724374801805e-12
11:22:52.39,2.056814537609514e-12,1.7077724374801805e-12
11:22:53.39,2.0949909021968635e-12,1.7077724374801805e-12
11:22:54.437,2.0949909021968635e-12,1.7077724374801805e-12
11:22:55.421,2.1535881527608563e-12,1.7077724374801805e-12
11:22:56.406,2.193560724418351e-12,1.7077724374801805e-12
11:22:57.406,2.2138243783533608e-12,1.7077724374801805e-12
11:22:58.421,2.2138243783533608e-12,1.7077724374801805e-12
11:22:59.406,2.193560724418351e-12,1.7077724374801805e-12
11:23:00.468,2.173482548462008e-12,1.7077724374801805e-12
11:23:01.421,2.2342752236736956e-12,1.7077724374801805e-12
11:23:02.39,2.361009278337627e-12,1.7077724374801805e-12
11:23:03.39,2.382819786896157e-12,1.7077724374801805e-12
11:23:04.406,2.361009278337627e-12,1.7077724374801805e-12
11:23:05.406,2.361009278337627e-12,1.7077724374801805e-12
11:23:06.39,2.4720953286803665e-12,1.7077724374801805e-12
11:23:07.39,2.5412403252545337e-12,1.7077724374801805e-12
11:23:08.39,2.517979756340322e-12,1.7077724374801805e-12
11:23:09.39,2.56471577042613e-12,1.7077724374801805e-12
11:23:10.39,2.4949320268748135e-12,1.7077724374801805e-12
11:23:11.39,2.636451305156849e-12,1.7077724374801805e-12
11:23:12.406,2.56471577042613e-12,1.7077724374801805e-12
11:23:13.421,2.6123192478055156e-12,1.7077724374801805e-12
11:23:14.453,2.636451305156849e-12,1.7077724374801805e-12
11:23:15.39,2.6608062893929666e-12,1.7077724374801805e-12
11:23:16.39,2.68538625986569e-12,1.7077724374801805e-12
11:23:17.39,2.735229492223256e-12,1.7077724374801805e-12
11:23:19.031,2.7859978606958545e-12,1.7077724374801805e-12
11:23:19.406,2.8377085366584592e-12,1.7077724374801805e-12
11:23:20.39,2.944027096051428e-12,1.7077724374801805e-12
11:23:21.406,2.8639226929911897e-12,1.7077724374801805e-12
11:23:22.39,3.0263720328402122e-12,1.7077724374801805e-12
11:23:23.39,2.998670939586548e-12,1.7077724374801805e-12
11:23:24.39,2.998670939586548e-12,1.7077724374801805e-12
11:23:25.39,3.0263720328402122e-12,1.7077724374801805e-12
11:23:26.421,3.054329022983865e-12,1.7077724374801805e-12
11:23:27.421,3.1980359328734387e-12,1.7077724374801805e-12
11:23:28.39,3.139759123361381e-12,1.7077724374801805e-12
11:23:29.39,3.1980359328734387e-12,1.7077724374801805e-12
11:23:30.453,3.2573944134288364e-12,1.7077724374801805e-12
11:23:31.406,3.287485539873973e-12,1.7077724374801805e-12
11:23:32.39,3.4106555984298083e-12,1.7077724374801805e-12
11:23:33.39,3.379437067540987e-12,1.7077724374801805e-12
11:23:34.406,3.5711277587830816e-12,1.7077724374801805e-12
11:23:35.406,3.5060522135077734e-12,1.7077724374801805e-12
11:23:36.39,3.5060522135077734e-12,1.7077724374801805e-12
11:23:37.375,3.6374111658741665e-12,1.7077724374801805e-12
11:23:38.39,3.704924853804386e-12,1.7077724374801805e-12
11:23:39.39,3.808552229823769e-12,1.7077724374801805e-12
11:23:40.39,3.7736916577146285e-12,1.7077724374801805e-12
11:23:41.39,3.987745521699793e-12,1.7077724374801805e-12
11:23:42.406,3.87924245289301e-12,1.7077724374801805e-12
11:23:43.421,3.9512447513484106e-12,1.7077724374801805e-12
11:23:44.453,4.175370135030971e-12,1.7077724374801805e-12
11:23:45.39,4.0992836697413705e-12,1.7077724374801805e-12
11:23:46.39,4.137151992573901e-12,1.7077724374801805e-12
11:23:47.39,4.2139413286728876e-12,1.7077724374801805e-12
11:23:49.031,4.371822296941258e-12,1.7077724374801805e-12
11:23:49.406,4.5356184876099875e-12,1.7077724374801805e-12
11:23:50.39,4.452967329158437e-12,1.7077724374801805e-12
11:23:51.406,4.5356184876099875e-12,1.7077724374801805e-12
11:23:52.39,4.619803727380494e-12,1.7077724374801805e-12
11:23:53.39,4.619803727380494e-12,1.7077724374801805e-12
11:23:54.453,4.792890875207102e-12,1.7077724374801805e-12
11:23:55.39,5.018397535403426e-12,1.7077724374801805e-12
11:23:56.39,5.06475643936889e-12,1.7077724374801805e-12
11:23:57.39,5.206418535281614e-12,1.7077724374801805e-12
11:23:58.406,5.1115435971667205e-12,1.7077724374801805e-12
11:23:59.406,5.254514337811878e-12,1.7077724374801805e-12
11:24:00.453,5.3030544392791595e-12,1.7077724374801805e-12
11:24:01.406,5.4014839943015205e-12,1.7077724374801805e-12
11:24:02.39,5.451381770632762e-12,1.7077724374801805e-12
11:24:03.39,5.655625106080191e-12,1.7077724374801805e-12
11:24:04.406,5.760598696100622e-12,1.7077724374801805e-12
11:24:05.406,6.031636240353696e-12,1.7077724374801805e-12
11:24:06.39,5.921723617855675e-12,1.7077724374801805e-12
11:24:07.39,6.031636240353696e-12,1.7077724374801805e-12
11:24:08.39,6.143588941950948e-12,1.7077724374801805e-12
11:24:09.39,6.257619588387022e-12,1.7077724374801805e-12
11:24:10.406,6.3737667482241866e-12,1.7077724374801805e-12
11:24:11.39,6.492069705892763e-12,1.7077724374801805e-12
11:24:12.421,6.797523135828064e-12,1.7077724374801805e-12
11:24:13.421,6.923691400773292e-12,1.7077724374801805e-12
11:24:14.453,6.923691400773292e-12,1.7077724374801805e-12
11:24:15.39,7.316421658516124e-12,1.7077724374801805e-12
11:24:16.39,7.521063212188899e-12,1.7077724374801805e-12
11:24:17.39,7.590541216813379e-12,1.7077724374801805e-12
